Ado
Lotus Juice;Mayumi Fujita & Lotus Juice;Shihoko Hirata & Lotus Juice;Yumi Kawamura & Lotus Juice;平田志穂子 Feat. Lotus Juice
Lyn;Lyn Inaizumi;Lyn & Shihoko Hirata;Shoji Meguro & Lyn
MAH;SiM
Mai Fuchigami;Fuchigami Mai; Wicked (Mai Fuchigami);Wicked
Margaret Dorn
Mariko Suzuki;Suzuki Mariko;鈴木麻里子
Mariya Anastasova
Mariya Angelova
Masahide Takaya;Takaya Masahide
Masayoshi Oishi;Masayoshi Ooishi;大石昌良
Maurice White;Earth, Wind & Fire;Earth, Wind & Fire & The Emotions;Earth;Wind & Fire
Maximum the Hormone
Mayu Mineda;Mineda Mayu;峯田 茉優;χ;χ (Mayu Mineda);χ (Mineda Mayu)
Mayumi Fujita;Fujita Mayumi;藤田真由美;Mayumi Fujita & Lotus Juice
Metro Voices;London Philarmonic Orchestra & Metro Voices;London Philharmonic Orchestra & Metro Voices
Mica Caldito;Caldito Mica;Voclas: Mica Caldito
Mika Kobayashi;Kobayashi Mika;Vocals: Mika Kobayashi
Minako Kotobuki;Kotobuki Minako;寿美菜子;Kanami Mashita
Misato Fukuen;Hikari to Hana to Kuma no Nuigurumi to Kikori to Kobito Tachi;Juukakusei Jidai no Hikari to Miyuki to Jyuseito;Koukousei jidan no Hikari to Shinseki no obasan to shinsoku no ojisan;Shoukakusei Jidai no Hitakari to sensei to classmate taichi
Mizuki Iida;Cinema Staff;飯田瑞規
mpi;Vocals: mpi
Oshima Ryosuke;Ryosuke Oshima;大島亮介;Shinsei Kamattechan
PENPALS
PEOPLE 1
Primal Fear
Queen Bee
Reina Ueda;Ueda Reina;上田麗奈;μ;μ (Reina Ueda);μ (Ueda Reina)
Revo;Sound Horizon;Linked Horizon
Rie Kugimiya;Kugimiya Rie;釘宮理恵;Rise Kujikawa;久慈川りせ (釘宮理恵);久慈川りせ
RIM;理芽
Ronnie James Dio;Dio
Rumi Shishido;Shishido Rumi;宍戸留美
Sara Weeda
Sarah Àlainn;Sarah Alainn
Sayulee;Vocals: Sayulee
Seima Iwahashi;Iwahashi Seima;岩橋星実
Shihoko Hirata;Hirata Shihoko;平田志穂子;Shihoko Hirata & Lotus Juice;Shihoko Hirata & Lotus Juice;平田志穂子;川村ゆみ & 平田志穂子;平田志穂子 Feat. Lotus Juice
Shouta Aoi;Aoi Shouta;Kagi-P (Shouta Aoi):Kagi-P
Shuuhei Kita;Kita Shuuhei
Silver Fins
SiM;Silence iz Mine
Solitude
Soma Saito;Saito Soma;Ike-P (Soma Saito);Ike-P
Sound Horizon;Linked Horizon
STARRYSKY
Steel Prophet
Stratovarius
Susumu Hirasawa;平沢進;Hirasawa Susumu
Swano;Swano & Tatgren
syudou;手動
Tamari
Tatgren;Swano & Tatgren
The Emotions;Earth, Wind & Fire & The Emotions;Wind & Fire & The Emotions
Thorhallur Audur Helgason;Þórhallur Auður Helgason
TK;TK from Ling Tosite Sigure
Tomoko Komiya;Komiya Tomoko;小宮知子
TOOBOE
Vaundy
VoicePlay
Yngwie Malmsteen;Yngwie Johan Malmsteen
Yosh;Yosh (Survive Said The Prophet);Vocals: Yosh;Vocals: Yosh (Survive Said The Prophet);Survive Said the Prophet
Yoshiki;Yoshiki Hayashi;Hayashi Yoshiki;林佳樹;Yoshiki Feat. Hyde
Yuka Otsubo;Otsubo Yuka;大坪 由佳;Thorn (Yuka Otsubo);Thorn
Yuki Kaji;Kaji Yuki;梶裕貴
Yuki Kajiura;Kajiura Yuki;梶浦由記
Yuma Uchida;Uchida Yuma;Shadow Knife (Yuma Uchida):Shadow Knife
Yumi Kawamura;Kawamura Yumi;Yumi Kawamura & Lotus Juice;Yumi Kawamura & Shihoko Hirata;川村ゆみ;川村ゆみ & 平田志穂子
Yumiri Hanamori;Hanamori Yumiri;Shonen-Doll (Yumiri Hanamori);Shonen-Doll
ZUTOMAYO;Zutto Mayonaka de Iinoni;ずっと真夜中でいいのに
